نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,أصحاب سابقون,إضافات,النوع,سنة الاصدار,سعر السيارة بالشيكل
1,4,0,2,0.21295255228243762,35000,1,0,1,1,603,0.8545454545454579,0.1420469562153114
0,4,0,1,0.12300427254328761,99999,0,0,0,0,305,0.8727272727272739,0.07196902956087169
1,4,0,0,0.23543962221722511,380000,0,0,0,0,603,0.836363636363642,0.14404918269115255
0,4,0,0,0.1679784124128626,210000,0,0,0,0,383,0.7272727272727318,0.06896568984710998
0,4,0,0,0.1454913424780751,167000,0,1,0,0,27,0.6545454545454537,0.03192450004404898
0,4,0,0,0.1454913424780751,140,0,1,0,0,607,0.7636363636363638,0.04543852764273872
1,1,0,1,0.1679784124128626,75000,0,0,0,0,132,0.8000000000000028,0.06095678394374544
0,4,0,1,0.1454913424780751,160,0,0,0,0,585,0.836363636363642,0.05495010451622204
0,4,0,1,0.20170901731504387,123456789,0,0,0,0,372,0.5272727272727276,0.021913367664843305
0,4,0,1,0.12300427254328761,60000,0,1,0,0,305,0.8545454545454579,0.06896568984710998
0,5,0,1,0.1679784124128626,111111,0,1,0,0,292,0.34545454545454635,0.02291448090276387
0,4,0,1,0.1679784124128626,00000,0,1,0,0,144,0.4727272727272725,0.026418377235485856
1,4,0,0,0.1679784124128626,94000,0,1,0,0,593,0.8545454545454579,0.06496123689542771
0,4,0,0,0.1454913424780751,90,0,1,0,0,607,0.7454545454545478,0.0469411986128575
1,4,0,0,0.21295255228243762,20000,1,1,1,1,598,0.8727272727272739,0.10700799288809155
0,4,0,0,0.1454913424780751,80000,0,0,0,0,593,0.836363636363642,0.06295901041958658
1,4,0,1,0.20170901731504387,200,0,0,0,0,407,0.7636363636363638,0.5495000440489825
0,4,0,1,0.13424780751068136,99999,2,1,2,2,294,0.2909090909090913,0.004894442620193655
0,4,0,0,0.1454913424780751,50000,0,1,0,0,27,0.836363636363642,0.06696346337126885
0,4,0,1,0.15673487744546885,99999,0,0,0,0,300,0.38181818181817834,0.006896669096034791
1,4,0,1,0.1679784124128626,99999,1,1,1,1,132,0.7454545454545478,0.06396012365750714
0,4,0,1,0.1679784124128626,99999,0,0,0,0,383,0.6545454545454537,0.050945651564539764
0,4,0,1,0.1454913424780751,140000,1,0,1,1,300,0.7818181818181869,0.051946764802460334
0,4,0,0,0.21295255228243762,99999,1,1,1,1,68,0.7272727272727318,0.09099018108136248
0,4,0,0,0.010568922869350123,46000,1,1,1,1,365,0.8727272727272739,0.15406031507035822
1,4,0,2,0.21295255228243762,82,0,1,0,0,598,0.836363636363642,0.08898795460552134
0,4,0,1,0.1454913424780751,99999,0,1,0,0,593,0.7090909090909087,0.03693006623365182
1,4,1,1,0.26917022711940636,000,2,1,2,2,142,0.5272727272727276,0.006896669096034791
0,4,0,0,0.21295255228243762,38000,1,1,1,1,589,0.8545454545454579,0.0839823884159185
0,4,0,0,0.1454913424780751,51,1,1,1,1,27,0.8545454545454579,0.06896568984710998
1,4,0,0,0.21295255228243762,120000,0,1,0,0,270,0.8545454545454579,0.11101244583977382
1,4,0,1,0.33663143692376885,280000,0,1,0,0,48,0.5636363636363666,0.04894342508869863
0,5,0,0,0.21295255228243762,99999,0,0,0,0,465,0.19999999999999715,0.013904461761478764
1,4,0,1,0.1679784124128626,99999,1,1,1,1,390,0.7818181818181869,0.06696346337126885
0,4,0,0,0.1904654823476501,115,0,1,0,0,365,0.7454545454545478,0.06596235013334828
0,0,0,1,0.1679784124128626,99999,1,0,1,1,374,0.5454545454545435,0.023915594140684438
0,4,0,2,0.24668315718461886,300000,1,0,1,1,77,0.6909090909090927,0.09899908698472701
1,4,0,0,0.21295255228243762,٤١٠٠٠,0,1,0,0,426,0.8545454545454579,0.11701912526729723
1,5,0,1,0.15673487744546885,99999,0,0,0,0,425,0.7818181818181869,0.04193563242325466
1,4,0,1,0.1679784124128626,120,0,0,0,0,390,0.8545454545454579,0.09399352079512417
0,4,0,1,0.1454913424780751,000000,0,1,0,0,21,0.5090909090909116,0.02291448090276387
0,4,0,0,0.1454913424780751,60الف,0,1,0,0,273,0.8545454545454579,0.08498350165383907
0,4,1,0,0.21295255228243762,196000,0,1,0,0,383,0.7090909090909087,0.01740835809420075
0,4,0,2,0.12300427254328761,20000,0,0,0,0,245,0.8727272727272739,0.05895455746790431
0,0,0,0,0.1454913424780751,99999,0,1,0,0,593,0.7454545454545478,0.035928952995731255
1,4,0,0,0.1679784124128626,43000,0,1,0,0,593,0.8727272727272739,0.06696346337126885
0,4,0,0,0.38160557679334384,274000,1,0,1,1,519,0.7090909090909087,0.2591772050520178
0,4,0,0,0.1679784124128626,١٢٠٠٠٠,1,1,1,1,587,0.7636363636363638,0.05695233099206317
0,4,0,1,0.1454913424780751,99999,0,1,0,0,27,0.836363636363642,0.0469411986128575
1,4,1,1,0.32538790195637507,2000,0,1,0,0,489,0.5272727272727276,0.005895555858114222
0,4,0,1,0.13424780751068136,٠٠٠٠٠,0,0,0,0,376,0.12727272727272612,0.012903348523558195
0,4,0,0,0.1904654823476501,136000,0,1,0,0,372,0.8000000000000028,0.09899908698472701
0,4,0,0,0.1904654823476501,116000,1,1,1,1,575,0.7454545454545478,0.05995567070582487
0,4,0,0,0.0021362716438048136,13700,2,0,2,2,188,0.836363636363642,0.005895555858114222
0,4,0,1,0.11738250505959075,132,0,1,0,0,236,0.8000000000000028,0.04093451918533409
0,4,0,1,0.1454913424780751,54000,2,0,2,2,27,0.836363636363642,0.052947878040380904
0,4,0,0,0.1454913424780751,40,0,1,0,0,27,0.890909090909097,0.06796457660918942
0,4,0,0,0.21295255228243762,99999,1,1,1,1,372,0.7090909090909087,0.05895455746790431
0,4,0,0,0.1454913424780751,78000,0,0,0,0,383,0.890909090909097,0.11101244583977382
0,4,0,0,0.1454913424780751,72000,1,1,1,1,610,0.7454545454545478,0.042936745661175224
1,4,0,0,0.34787497189116257,120000,1,0,1,1,548,0.7272727272727318,0.12903248412234403
0,4,0,1,0.1454913424780751,99999,0,1,0,0,27,0.8545454545454579,0.05795344422998374
1,4,0,2,0.1679784124128626,160000,0,1,0,0,270,0.8181818181818188,0.07897682222631566
1,5,0,1,0.20170901731504387,99999,0,1,0,0,280,0.6545454545454537,0.033926726519890114
0,5,0,1,0.1679784124128626,12345,0,1,0,0,595,0.5818181818181826,0.01790891471316103
0,4,0,1,0.1679784124128626,133000,0,1,0,0,593,0.8000000000000028,0.05545066113518232
0,4,0,0,0.1679784124128626,157,0,1,0,0,423,0.7454545454545478,0.044938972137016364
0,4,0,0,0.1454913424780751,47 الف,0,0,0,0,593,0.8545454545454579,0.0839823884159185
0,4,0,1,0.1454913424780751,71000,0,1,0,0,593,0.7636363636363638,0.043937858899095794
0,4,0,1,0.1454913424780751,130000,0,1,0,0,27,0.7636363636363638,0.035928952995731255
1,4,0,0,0.21295255228243762,132000,0,1,0,0,279,0.836363636363642,0.11902135174313837
0,4,0,0,0.1679784124128626,000,1,0,1,1,592,0.6909090909090927,0.043937858899095794
0,4,0,0,0.4378232516303126,180000,1,0,1,1,84,0.7272727272727318,0.12903248412234403
0,4,0,0,0.12300427254328761,47000,0,1,0,0,280,0.890909090909097,0.07347069941775254
0,4,0,1,0.1679784124128626,999855,1,0,1,1,66,0.4000000000000014,0.028921160330287278
0,4,1,1,0.1454913424780751,99999,0,1,0,0,110,0.5636363636363666,0.0023916595253922358
1,5,0,1,0.20170901731504387,99999,1,1,1,1,270,0.7090909090909087,0.050945651564539764
0,4,0,0,0.34787497189116257,99999,1,0,1,1,517,0.4545454545454565,0.05394899127830147
1,4,0,0,0.21295255228243762,52000,1,1,1,1,589,0.836363636363642,0.10400465317432984
1,5,0,0,0.20170901731504387,5,0,1,0,0,270,0.7636363636363638,0.06295901041958658
1,4,0,0,0.02181245783674387,150,0,1,0,0,510,0.5818181818181826,0.06396012365750714
0,4,0,1,0.1454913424780751,99999,1,0,1,1,383,0.8000000000000028,0.09399352079512417
0,4,0,1,0.1286260400269845,30,0,1,0,0,403,0.8727272727272739,0.0499445383266192
0,4,0,0,0.21295255228243762,٢٥٠٠٠٠,1,0,1,1,587,0.7454545454545478,0.05695233099206317
0,4,0,1,0.12300427254328761,٦٥٠٠٠,0,1,0,0,305,0.8727272727272739,0.07196902956087169
0,4,0,1,0.15673487744546885,99999,2,1,2,2,183,0.5999999999999985,0.023915594140684438
0,4,0,1,0.1454913424780751,90000 كيلو,0,1,0,0,27,0.7454545454545478,0.04193563242325466
1,4,0,0,0.1679784124128626,165500,0,0,0,0,593,0.836363636363642,0.065461793514388
1,5,0,1,0.26917022711940636,000 كيلو متر,0,0,0,0,472,0.4545454545454565,0.023915594140684438
0,4,0,2,0.21295255228243762,40000,0,0,0,0,422,0.8545454545454579,0.08898795460552134
1,4,0,0,0.1679784124128626,140000,0,0,0,0,132,0.8545454545454579,0.07697459575047452
0,4,0,0,0.3029008320215876,٢٥٦٦٦٤,1,1,1,1,79,0.5636363636363666,0.05895455746790431
0,4,0,0,0.1454913424780751,109000,0,1,0,0,383,0.8181818181818188,0.08898795460552134
1,4,0,0,0.1679784124128626,100,0,0,0,0,257,0.836363636363642,0.09899908698472701
0,4,0,1,0.1679784124128626,99999,2,1,2,2,294,0.3090909090909073,0.00839833895291564
0,4,0,0,0.1904654823476501,99999,0,1,0,0,575,0.7272727272727318,0.04594008537493693
1,4,0,1,0.1679784124128626,39000,0,0,0,0,270,0.8727272727272739,0.10901021936393268
1,4,0,0,0.21295255228243762,99999,1,0,1,1,598,0.7090909090909087,0.05895455746790431
0,4,0,2,0.32538790195637507,190000,1,0,1,1,80,0.6363636363636377,0.05795344422998374
1,4,0,1,0.21295255228243762,99999,2,1,2,2,373,0.6363636363636377,0.04093451918533409
0,4,0,0,0.1454913424780751,١١٣٥٠٠,0,1,0,0,27,0.5636363636363666,0.029922273568207845
0,4,0,0,0.1679784124128626,74000,1,1,1,1,97,0.8545454545454579,0.1240269179327412
1,1,0,1,0.26917022711940636,99999,0,1,0,0,367,0.6909090909090927,0.050945651564539764
1,5,0,0,0.26917022711940636,2000000,0,0,0,0,499,0.6181818181818217,0.030923386806128415
1,4,0,0,0.21295255228243762,99999,1,0,1,1,383,0.7090909090909087,0.06696346337126885
1,4,1,0,0.21295255228243762,99999,2,1,2,2,372,0.6363636363636377,0.0038933293822730874
0,4,0,1,0.21295255228243762,91000,1,1,1,1,383,0.6363636363636377,0.06095678394374544
1,5,0,1,0.20170901731504387,99999,0,1,0,0,270,0.7454545454545478,0.04894342508869863
1,4,0,1,0.1679784124128626,150000,0,1,0,0,270,0.8545454545454579,0.08898795460552134
1,5,0,1,0.20170901731504387,620,0,0,0,0,270,0.6727272727272767,0.044938972137016364
0,4,0,1,0.1679784124128626,99999,0,1,0,0,372,0.5636363636363666,0.030923386806128415
0,4,0,1,0.031931639307398244,99999,0,1,0,0,207,0.890909090909097,0.03693006623365182
0,4,0,2,0.1454913424780751,65000,1,1,1,1,423,0.8545454545454579,0.06896568984710998
1,4,0,0,0.20170901731504387,99999,0,1,0,0,372,0.6909090909090927,0.0469411986128575
0,4,0,0,0.1679784124128626,51000,0,1,0,0,340,0.836363636363642,0.06896568984710998
1,5,0,1,0.20170901731504387,99999,0,1,0,0,390,0.7454545454545478,0.06896568984710998
0,4,0,0,0.21295255228243762,١٦٠٠,0,1,0,0,365,0.8545454545454579,0.14404918269115255
0,4,0,0,0.1679784124128626,1111111,0,0,0,0,119,0.6727272727272767,0.030923386806128415
1,4,0,0,0.1679784124128626,100000,0,1,0,0,270,0.8545454545454579,0.09599574727096531
0,4,0,1,0.1904654823476501,٣٦٣٦٣٦,0,1,0,0,66,0.36363636363636237,0.024916707378605005
1,5,0,1,0.20170901731504387,99999,0,0,0,0,270,0.7272727272727318,0.05595121775414261
1,4,0,1,0.2579266921520126,٢٢٠,0,1,0,0,391,0.6181818181818217,0.0063961124770745064
1,1,0,1,0.26917022711940636,490000,0,0,0,0,478,0.49090909090908846,0.02541726399756529
1,5,0,1,0.26917022711940636,99999,0,1,0,0,582,0.7090909090909087,0.030923386806128415
1,5,0,1,0.20170901731504387,460000,0,0,0,0,270,0.6363636363636377,0.042936745661175224
0,4,0,0,0.1679784124128626,48000,0,1,0,0,113,0.8000000000000028,0.043937858899095794
0,4,0,1,0.1679784124128626,159000,0,1,0,0,21,0.7090909090909087,0.03893229270949296
0,4,1,0,0.1679784124128626,190,0,1,0,0,554,0.5818181818181826,0.00038943304955110086
1,5,0,1,0.20170901731504387,٠٠٠٠٠٠٠٠٠٠٠٠,0,1,0,0,374,0.6181818181818217,0.023915594140684438
0,4,0,0,0.1679784124128626,99999,0,1,0,0,111,0.7454545454545478,0.035928952995731255
